Epoch|TrainCost|TrainAll|TrainRoot|TestCost|TestAll|TestRoot
0|30.956355|71.045445|26.065075|30.044364|70.877724|22.579186
1|26.478340|73.711949|29.084738|27.111353|73.388620|30.045249
2|24.508962|75.448707|33.801498|25.791672|74.351090|33.031674
3|23.032810|76.819155|36.212547|24.844189|75.312349|38.099548
4|21.729122|78.301034|40.390918|24.129259|76.070218|37.647059
5|20.496207|79.690315|44.417135|23.662022|76.638015|39.140271
6|21.447895|78.500041|35.393258|23.086637|77.230024|37.466063
7|18.542903|81.376223|45.903558|22.867657|77.237288|37.601810
8|17.422848|82.601340|49.765918|22.216770|77.901937|41.040724
9|16.459403|83.504404|52.867509|22.356916|78.096852|40.452489
10|15.718064|84.269984|55.079588|22.312400|78.191283|40.769231
11|15.120299|84.941397|57.666199|22.421489|78.462470|42.760181
12|17.452346|82.419911|44.920412|22.348081|78.600484|38.642534
13|15.087304|84.738623|52.516386|22.299801|78.616223|39.864253
14|14.078509|85.813386|56.811798|21.953610|78.933414|40.452489
15|13.449957|86.519954|59.199438|22.437154|78.857143|40.859729
16|12.931048|87.083702|61.154026|22.680408|78.996368|40.859729
17|12.514848|87.538216|62.652154|23.073401|78.863196|40.452489
18|17.026823|82.757657|40.145131|22.577709|78.438257|37.737557
19|14.440378|85.330307|50.140449|22.296860|78.884988|38.959276
20|13.254398|86.716136|55.933989|22.727573|79.290557|40.407240
21|12.436003|87.576197|58.742978|22.587590|79.070218|40.180995
22|11.918785|88.114206|60.908240|22.841138|79.269976|40.950226
23|11.964516|88.063042|59.363296|23.003426|79.230024|40.090498
24|14.264952|85.776033|51.451311|22.373598|78.859564|37.828054
25|12.115013|87.828879|57.935393|22.486478|79.336562|39.366516
26|11.374905|88.667910|60.943352|23.190639|79.226392|40.000000
27|11.207952|88.894853|61.739232|23.265634|79.435835|39.321267
28|10.379029|89.775003|65.636704|23.430685|79.276029|41.266968
29|10.013027|90.128130|67.415730|23.932726|79.246973|40.135747
